model,tourType,variable,alternative,units,latentClass,value
classMembership,mandatory,asc,class1,util,,0
classMembership,mandatory,asc,class2,util,,2.347
classMembership,mandatory,asc,class3,util,,0
classMembership,mandatory,asc,class4,util,,0.244
classMembership,mandatory,asc,class5,util,,0
classMembership,mandatory,asc,class6,util,,-1
classMembership,mandatory,householdSize,class1,util/person,,0
classMembership,mandatory,householdSize,class2,util/person,,-1.224
classMembership,mandatory,householdSize,class3,util/person,,0.472
classMembership,mandatory,householdSize,class4,util/person,,-1.246
classMembership,mandatory,householdSize,class5,util/person,,0.174
classMembership,mandatory,householdSize,class6,util/person,,0.141
classMembership,mandatory,income,class1,util/$,,0
classMembership,mandatory,income,class2,util/$,,3.4e-06
classMembership,mandatory,income,class3,util/$,,1.3e-06
classMembership,mandatory,income,class4,util/$,,6.9e-06
classMembership,mandatory,income,class5,util/$,,4.5e-06
classMembership,mandatory,income,class6,util/$,,7e-07
classMembership,mandatory,male,class1,util,,0
classMembership,mandatory,male,class2,util,,-0.511
classMembership,mandatory,male,class3,util,,-0.591
classMembership,mandatory,male,class4,util,,-0.827
classMembership,mandatory,male,class5,util,,-1.114
classMembership,mandatory,male,class6,util,,-0.192
classMembership,mandatory,numBikes,class1,util/bike,,0
classMembership,mandatory,numBikes,class2,util/bike,,-0.336
classMembership,mandatory,numBikes,class3,util/bike,,-0.29
classMembership,mandatory,numBikes,class4,util/bike,,-0.371
classMembership,mandatory,numBikes,class5,util/bike,,-0.281
classMembership,mandatory,numBikes,class6,util/bike,,-0.273
classMembership,mandatory,numCars,class1,util/car,,0
classMembership,mandatory,numCars,class2,util/car,,1.05
classMembership,mandatory,numCars,class3,util/car,,-0.616
classMembership,mandatory,numCars,class4,util/car,,1.32
classMembership,mandatory,numCars,class5,util/car,,0.157
classMembership,mandatory,numCars,class6,util/car,,0.597
classMembership,mandatory,surplus,class1,util/util,,0.002
classMembership,mandatory,surplus,class2,util/util,,0.154
classMembership,mandatory,surplus,class3,util/util,,0.022
classMembership,mandatory,surplus,class4,util/util,,1.257
classMembership,mandatory,surplus,class5,util/util,,0.097
classMembership,mandatory,surplus,class6,util/util,,0.732
classMembership,nonmandatory,asc,class1,util,,0
classMembership,nonmandatory,asc,class2,util,,2.347
classMembership,nonmandatory,asc,class3,util,,0
classMembership,nonmandatory,asc,class4,util,,0.244
classMembership,nonmandatory,asc,class5,util,,0
classMembership,nonmandatory,asc,class6,util,,-1
classMembership,nonmandatory,householdSize,class1,util/person,,0
classMembership,nonmandatory,householdSize,class2,util/person,,-1.224
classMembership,nonmandatory,householdSize,class3,util/person,,0.472
classMembership,nonmandatory,householdSize,class4,util/person,,-1.246
classMembership,nonmandatory,householdSize,class5,util/person,,0.174
classMembership,nonmandatory,householdSize,class6,util/person,,0.141
classMembership,nonmandatory,income,class1,util/$,,0
classMembership,nonmandatory,income,class2,util/$,,3.4e-06
classMembership,nonmandatory,income,class3,util/$,,1.3e-06
classMembership,nonmandatory,income,class4,util/$,,6.9e-06
classMembership,nonmandatory,income,class5,util/$,,4.5e-06
classMembership,nonmandatory,income,class6,util/$,,7e-07
classMembership,nonmandatory,male,class1,util,,0
classMembership,nonmandatory,male,class2,util,,-0.511
classMembership,nonmandatory,male,class3,util,,-0.591
classMembership,nonmandatory,male,class4,util,,-0.827
classMembership,nonmandatory,male,class5,util,,-1.114
classMembership,nonmandatory,male,class6,util,,-0.192
classMembership,nonmandatory,numBikes,class1,util/bike,,0
classMembership,nonmandatory,numBikes,class2,util/bike,,-0.336
classMembership,nonmandatory,numBikes,class3,util/bike,,-0.29
classMembership,nonmandatory,numBikes,class4,util/bike,,-0.371
classMembership,nonmandatory,numBikes,class5,util/bike,,-0.281
classMembership,nonmandatory,numBikes,class6,util/bike,,-0.273
classMembership,nonmandatory,numCars,class1,util/car,,0
classMembership,nonmandatory,numCars,class2,util/car,,1.05
classMembership,nonmandatory,numCars,class3,util/car,,-0.616
classMembership,nonmandatory,numCars,class4,util/car,,1.32
classMembership,nonmandatory,numCars,class5,util/car,,0.157
classMembership,nonmandatory,numCars,class6,util/car,,0.597
classMembership,nonmandatory,surplus,class1,util/util,,0.954
classMembership,nonmandatory,surplus,class2,util/util,,1.566
classMembership,nonmandatory,surplus,class3,util/util,,0.159
classMembership,nonmandatory,surplus,class4,util/util,,1.323
classMembership,nonmandatory,surplus,class5,util/util,,0.298
classMembership,nonmandatory,surplus,class6,util/util,,0.534
modeChoice,mandatory,asc,bike,util,class1,-0.291
modeChoice,mandatory,asc,bike,util,class2,
modeChoice,mandatory,asc,bike,util,class3,
modeChoice,mandatory,asc,bike,util,class4,
modeChoice,mandatory,asc,bike,util,class5,
modeChoice,mandatory,asc,bike,util,class6,
modeChoice,mandatory,asc,car,util,class1,0
modeChoice,mandatory,asc,car,util,class2,0
modeChoice,mandatory,asc,car,util,class3,0
modeChoice,mandatory,asc,car,util,class4,0
modeChoice,mandatory,asc,car,util,class5,0
modeChoice,mandatory,asc,car,util,class6,0
modeChoice,mandatory,asc,drive_transit,util,class1,-0.551
modeChoice,mandatory,asc,drive_transit,util,class2,2.67
modeChoice,mandatory,asc,drive_transit,util,class3,4.858
modeChoice,mandatory,asc,drive_transit,util,class4,
modeChoice,mandatory,asc,drive_transit,util,class5,-2.068
modeChoice,mandatory,asc,drive_transit,util,class6,
modeChoice,mandatory,asc,ride_hail,util,class1,-1.66
modeChoice,mandatory,asc,ride_hail,util,class2,
modeChoice,mandatory,asc,ride_hail,util,class3,0.668
modeChoice,mandatory,asc,ride_hail,util,class4,-1.61
modeChoice,mandatory,asc,ride_hail,util,class5,1.789
modeChoice,mandatory,asc,ride_hail,util,class6,-2.5
modeChoice,mandatory,asc,walk,util,class1,-1.6
modeChoice,mandatory,asc,walk,util,class2,
modeChoice,mandatory,asc,walk,util,class3,5.19
modeChoice,mandatory,asc,walk,util,class4,
modeChoice,mandatory,asc,walk,util,class5,-4.56
modeChoice,mandatory,asc,walk,util,class6,
modeChoice,mandatory,asc,walk_transit,util,class1,-0.551
modeChoice,mandatory,asc,walk_transit,util,class2,2.67
modeChoice,mandatory,asc,walk_transit,util,class3,4.858
modeChoice,mandatory,asc,walk_transit,util,class4,
modeChoice,mandatory,asc,walk_transit,util,class5,-2.068
modeChoice,mandatory,asc,walk_transit,util,class6,
modeChoice,mandatory,cost,bike,util/$,class1,-0.13
modeChoice,mandatory,cost,bike,util/$,class2,-0.15
modeChoice,mandatory,cost,bike,util/$,class3,-0.09
modeChoice,mandatory,cost,bike,util/$,class4,-0.317
modeChoice,mandatory,cost,bike,util/$,class5,-0.15
modeChoice,mandatory,cost,bike,util/$,class6,-0.053
modeChoice,mandatory,cost,car,util/$,class1,-0.13
modeChoice,mandatory,cost,car,util/$,class2,-0.15
modeChoice,mandatory,cost,car,util/$,class3,-0.09
modeChoice,mandatory,cost,car,util/$,class4,-0.317
modeChoice,mandatory,cost,car,util/$,class5,-0.15
modeChoice,mandatory,cost,car,util/$,class6,-0.053
modeChoice,mandatory,cost,drive_transit,util/$,class1,-0.13
modeChoice,mandatory,cost,drive_transit,util/$,class2,-0.15
modeChoice,mandatory,cost,drive_transit,util/$,class3,-0.09
modeChoice,mandatory,cost,drive_transit,util/$,class4,-0.317
modeChoice,mandatory,cost,drive_transit,util/$,class5,-0.15
modeChoice,mandatory,cost,drive_transit,util/$,class6,-0.053
modeChoice,mandatory,cost,ride_hail,util/$,class1,-0.13
modeChoice,mandatory,cost,ride_hail,util/$,class2,-0.15
modeChoice,mandatory,cost,ride_hail,util/$,class3,-0.09
modeChoice,mandatory,cost,ride_hail,util/$,class4,-0.317
modeChoice,mandatory,cost,ride_hail,util/$,class5,-0.15
modeChoice,mandatory,cost,ride_hail,util/$,class6,-0.053
modeChoice,mandatory,cost,walk,util/$,class1,-0.13
modeChoice,mandatory,cost,walk,util/$,class2,-0.15
modeChoice,mandatory,cost,walk,util/$,class3,-0.09
modeChoice,mandatory,cost,walk,util/$,class4,-0.317
modeChoice,mandatory,cost,walk,util/$,class5,-0.15
modeChoice,mandatory,cost,walk,util/$,class6,-0.053
modeChoice,mandatory,cost,walk_transit,util/$,class1,-0.13
modeChoice,mandatory,cost,walk_transit,util/$,class2,-0.15
modeChoice,mandatory,cost,walk_transit,util/$,class3,-0.09
modeChoice,mandatory,cost,walk_transit,util/$,class4,-0.317
modeChoice,mandatory,cost,walk_transit,util/$,class5,-0.15
modeChoice,mandatory,cost,walk_transit,util/$,class6,-0.053
modeChoice,mandatory,time,bike,util/sec,class1,-0.000533333
modeChoice,mandatory,time,bike,util/sec,class2,-0.000338889
modeChoice,mandatory,time,bike,util/sec,class3,-0.000325
modeChoice,mandatory,time,bike,util/sec,class4,0
modeChoice,mandatory,time,bike,util/sec,class5,-0.001516667
modeChoice,mandatory,time,bike,util/sec,class6,-0.000166667
modeChoice,mandatory,time,car,util/sec,class1,-0.000216667
modeChoice,mandatory,time,car,util/sec,class2,-0.000738889
modeChoice,mandatory,time,car,util/sec,class3,-0.000333333
modeChoice,mandatory,time,car,util/sec,class4,0
modeChoice,mandatory,time,car,util/sec,class5,-0.000633333
modeChoice,mandatory,time,car,util/sec,class6,-8.33e-05
modeChoice,mandatory,time,drive_transit,util/sec,class1,-0.000533333
modeChoice,mandatory,time,drive_transit,util/sec,class2,-0.000338889
modeChoice,mandatory,time,drive_transit,util/sec,class3,-0.000325
modeChoice,mandatory,time,drive_transit,util/sec,class4,0
modeChoice,mandatory,time,drive_transit,util/sec,class5,-0.001516667
modeChoice,mandatory,time,drive_transit,util/sec,class6,-0.000166667
modeChoice,mandatory,time,ride_hail,util/sec,class1,-0.000533333
modeChoice,mandatory,time,ride_hail,util/sec,class2,-0.000338889
modeChoice,mandatory,time,ride_hail,util/sec,class3,-0.000325
modeChoice,mandatory,time,ride_hail,util/sec,class4,0
modeChoice,mandatory,time,ride_hail,util/sec,class5,-0.001516667
modeChoice,mandatory,time,ride_hail,util/sec,class6,-0.000166667
modeChoice,mandatory,time,walk,util/sec,class1,-0.000216667
modeChoice,mandatory,time,walk,util/sec,class2,-0.000738889
modeChoice,mandatory,time,walk,util/sec,class3,-0.000333333
modeChoice,mandatory,time,walk,util/sec,class4,0
modeChoice,mandatory,time,walk,util/sec,class5,-0.000633333
modeChoice,mandatory,time,walk,util/sec,class6,-8.33e-05
modeChoice,mandatory,time,walk_transit,util/sec,class1,-0.000216667
modeChoice,mandatory,time,walk_transit,util/sec,class2,-0.000738889
modeChoice,mandatory,time,walk_transit,util/sec,class3,-0.000333333
modeChoice,mandatory,time,walk_transit,util/sec,class4,0
modeChoice,mandatory,time,walk_transit,util/sec,class5,-0.000633333
modeChoice,mandatory,time,walk_transit,util/sec,class6,-8.33e-05
modeChoice,nonmandatory,asc,bike,util,class1,-0.16
modeChoice,nonmandatory,asc,bike,util,class2,
modeChoice,nonmandatory,asc,bike,util,class3,
modeChoice,nonmandatory,asc,bike,util,class4,
modeChoice,nonmandatory,asc,bike,util,class5,
modeChoice,nonmandatory,asc,bike,util,class6,
modeChoice,nonmandatory,asc,car,util,class1,0
modeChoice,nonmandatory,asc,car,util,class2,0
modeChoice,nonmandatory,asc,car,util,class3,0
modeChoice,nonmandatory,asc,car,util,class4,0
modeChoice,nonmandatory,asc,car,util,class5,0
modeChoice,nonmandatory,asc,car,util,class6,0
modeChoice,nonmandatory,asc,drive_transit,util,class1,-1.802
modeChoice,nonmandatory,asc,drive_transit,util,class2,-0.973
modeChoice,nonmandatory,asc,drive_transit,util,class3,2.596
modeChoice,nonmandatory,asc,drive_transit,util,class4,
modeChoice,nonmandatory,asc,drive_transit,util,class5,2.476
modeChoice,nonmandatory,asc,drive_transit,util,class6,
modeChoice,nonmandatory,asc,ride_hail,util,class1,0.346
modeChoice,nonmandatory,asc,ride_hail,util,class2,-1.89
modeChoice,nonmandatory,asc,ride_hail,util,class3,0.475
modeChoice,nonmandatory,asc,ride_hail,util,class4,-0.744
modeChoice,nonmandatory,asc,ride_hail,util,class5,1.3
modeChoice,nonmandatory,asc,ride_hail,util,class6,1.059
modeChoice,nonmandatory,asc,walk,util,class1,-0.0899
modeChoice,nonmandatory,asc,walk,util,class2,-1.885
modeChoice,nonmandatory,asc,walk,util,class3,0.475
modeChoice,nonmandatory,asc,walk,util,class4,-0.744
modeChoice,nonmandatory,asc,walk,util,class5,1.3
modeChoice,nonmandatory,asc,walk,util,class6,1.059
modeChoice,nonmandatory,asc,walk_transit,util,class1,-1.802
modeChoice,nonmandatory,asc,walk_transit,util,class2,-0.973
modeChoice,nonmandatory,asc,walk_transit,util,class3,2.596
modeChoice,nonmandatory,asc,walk_transit,util,class4,
modeChoice,nonmandatory,asc,walk_transit,util,class5,2.476
modeChoice,nonmandatory,asc,walk_transit,util,class6,
modeChoice,nonmandatory,cost,bike,util/$,class1,-0.03
modeChoice,nonmandatory,cost,bike,util/$,class2,-0.125
modeChoice,nonmandatory,cost,bike,util/$,class3,-0.037
modeChoice,nonmandatory,cost,bike,util/$,class4,-0.353
modeChoice,nonmandatory,cost,bike,util/$,class5,-0.798
modeChoice,nonmandatory,cost,bike,util/$,class6,
modeChoice,nonmandatory,cost,car,util/$,class1,-0.03
modeChoice,nonmandatory,cost,car,util/$,class2,-0.125
modeChoice,nonmandatory,cost,car,util/$,class3,-0.037
modeChoice,nonmandatory,cost,car,util/$,class4,-0.353
modeChoice,nonmandatory,cost,car,util/$,class5,-0.798
modeChoice,nonmandatory,cost,car,util/$,class6,
modeChoice,nonmandatory,cost,drive_transit,util/$,class1,-0.03
modeChoice,nonmandatory,cost,drive_transit,util/$,class2,-0.125
modeChoice,nonmandatory,cost,drive_transit,util/$,class3,-0.037
modeChoice,nonmandatory,cost,drive_transit,util/$,class4,-0.353
modeChoice,nonmandatory,cost,drive_transit,util/$,class5,-0.798
modeChoice,nonmandatory,cost,drive_transit,util/$,class6,
modeChoice,nonmandatory,cost,ride_hail,util/$,class1,-0.03
modeChoice,nonmandatory,cost,ride_hail,util/$,class2,-0.125
modeChoice,nonmandatory,cost,ride_hail,util/$,class3,-0.037
modeChoice,nonmandatory,cost,ride_hail,util/$,class4,-0.353
modeChoice,nonmandatory,cost,ride_hail,util/$,class5,-0.798
modeChoice,nonmandatory,cost,ride_hail,util/$,class6,
modeChoice,nonmandatory,cost,walk,util/$,class1,-0.03
modeChoice,nonmandatory,cost,walk,util/$,class2,-0.125
modeChoice,nonmandatory,cost,walk,util/$,class3,-0.037
modeChoice,nonmandatory,cost,walk,util/$,class4,-0.353
modeChoice,nonmandatory,cost,walk,util/$,class5,-0.798
modeChoice,nonmandatory,cost,walk,util/$,class6,
modeChoice,nonmandatory,cost,walk_transit,util/$,class1,-0.03
modeChoice,nonmandatory,cost,walk_transit,util/$,class2,-0.125
modeChoice,nonmandatory,cost,walk_transit,util/$,class3,-0.037
modeChoice,nonmandatory,cost,walk_transit,util/$,class4,-0.353
modeChoice,nonmandatory,cost,walk_transit,util/$,class5,-0.798
modeChoice,nonmandatory,cost,walk_transit,util/$,class6,
