vehicleTypeId,seatingCapacity,standingRoomCapacity,lengthInMeter,primaryFuelType,primaryFuelConsumptionInJoulePerMeter,primaryFuelCapacityInJoule,primaryVehicleEnergyFile,secondaryFuelType,secondaryFuelConsumptionInJoulePerMeter,secondaryVehicleEnergyFile,secondaryFuelCapacityInJoule,automationLevel,maxVelocity,passengerCarUnit,rechargeLevel2RateLimitInWatts,rechargeLevel3RateLimitInWatts,vehicleCategory,sampleProbabilityWithinCategory,sampleProbabilityString
BODY-TYPE-DEFAULT,0,0,0.5,Food,53,2.21E+06,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,Body,,
BIKE-DEFAULT,2,0,1.5,gasoline,10.6,2210000,/vehicle-energy/default-energy-primary.csv,,,,,,5,,,,Bike,1,
FAST-BIKE,2,0,1.5,gasoline,10.6,2210000,/vehicle-energy/default-energy-primary.csv,,,,,,20,,,,Bike,1,
Car,4,0,4.5,gasoline,3655.98,3655980000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,Car,0.5,ridehail|all:0.3; income|0-17:0.5|17-36:0.25 | 61-86:1.0 | 86-133 : 0.0 | 133-999 : 0.0
Car-rh-only,4,0,4.5,gasoline,3655.98,3655980000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,Car,0.5,ridehail|all:0.3; income|0-17:0.0|17-36:0.0 | 61-86:0.0 | 86-133 : 0.0 | 133-999 : 0.0
CAV,4,0,4.5,gasoline,3655.98,3655980000,/vehicle-energy/default-energy-primary.csv,,,,,4,,,,,Car,0,ridehail|all:0.2; income|0-17:0.5|17-36:0.25 |35-61:0.5 | 61-86:0.0 | 86-133 : 0.0 | 133-999 : 0.0
BEV,4,0,4.5,electricity,671.22432,269999982.7,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,Car,0.3,ridehail|all:0.2; income|17-36:0.25 |35-61:0.5 | 61-86:0.0 | 86-133 : 0.5 | 133-999 : 0.1
PHEV,4,0,4.5,electricity,671.22432,269999982.7,/vehicle-energy/default-energy-primary.csv,gasoline,3655.98,/vehicle-energy/default-energy-secondary.csv,3655980000,,,,,,Car,0.2,ridehail|all:0.0; income|17-36:0.25 | 61-86:0.0 | 86-133 : 0.5 | 133-999 : 0.9
BUS-DEFAULT,37,20,12.1,diesel,20048,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
RAIL-DEFAULT,801,2052,129.6,diesel,210518.32,6.00E+11,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
FERRY-DEFAULT,149,0,26,diesel,701680,1.20E+13,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
SUBWAY-DEFAULT,336,864,129.6,electricity,46800,46800000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
CABLE_CAR-DEFAULT,29,31,8.4,electricity,1116,1116000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
TRAM-DEFAULT,58,19,14,electricity,3600,3600000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-AC,37,20,12.1,diesel,20048,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-AY,33,20,10.7,diesel,19582.6,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
SUBWAY-BA,336,864,129.6,electricity,46800,46800000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
RAIL-AM,801,2052,129.6,diesel,210518.32,6.00E+11,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-CC,41,32,12.192,biodiesel,18046.54029,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
TRAIN-CE,650,210,155,diesel,210518.32,2.11E+11,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-CM,33,20,10.7,diesel,19582.6,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
TRAIN-CT,650,220,126,diesel,210518.32,2.11E+11,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-CT,36,45,12.19,diesel,17470.4,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-DE,41,32,12.2,biodiesel,18043.5,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-FS,36,45,12.19,diesel,17470.4,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
FERRY-HF,149,0,26,diesel,701680,1.20E+13,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-GG,36,45,12.19,diesel,17470.4,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-MA,34,14,9.4,gasoline,12380.4,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-MS,42,13,12.5,electricity,4500,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-PE,33,20,10.7,diesel,19582.6,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-RV,19,6,7.32,biodiesel,10823.23995,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-VTA,41,32,12.2,biodiesel,18043.5,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-SF,69,51,18.6,diesel,30958.36862,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
CABLE_CAR-SF,29,31,8.4,electricity,1116,1116000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
TRAM-SF,58,19,14,electricity,3600,3600000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-SM,39,35,12.8,diesel,17763.96,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-SO,43,34,12.5,biodiesel,20607.2985,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-SR,36,45,12.19,diesel,17470.4,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-ST,58,31,13.76,diesel,26313,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-VC,30,10,10.668,biodiesel,23858.01301,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-VN,33,20,10.7,diesel,19582.6,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-WC,39,34,12.2,diesel,14773.1163,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,
BUS-WH,33,20,10.7,diesel,19582.6,30000000000,/vehicle-energy/default-energy-primary.csv,,,,,,,,,,MediumDutyPassenger,,