Iteration,RHSummary_deadheadingPerRideHailTrips,RHSummary_multiPassengerTripsPerPoolTrips,RHSummary_multiPassengerTripsPerRideHailTrips,RHSummary_unmatchedPerRideHailRequests,RideTripsWith0Passengers,RideTripsWith1Passengers,RideTripsWith2Passengers,RideTripsWith3Passengers,agencyRevenue_BART,agencyRevenue_SFMTA,agentHoursOnCrowdedTransit,averageMTWaitingTimeInSec,averageOnDemandRideWaitTimeInMin,averageTripExpenditure,averageTripExpenditure_Commute,averageTripExpenditure_Home,averageTripExpenditure_Secondary,averageTripExpenditure_Work,averageVehicleDelayPerMotorizedLeg_home,averageVehicleDelayPerMotorizedLeg_secondary,averageVehicleDelayPerMotorizedLeg_work,averageVehicleDelayPerPassengerTrip,averagekWhPerDriver_CAV,averagekWhPerDriver_Human,busCrowding,chargingCountPerDriver_CAV,chargingCountPerDriver_Human,fuelConsumedInMJ_Diesel,fuelConsumedInMJ_Electricity,fuelConsumedInMJ_Food,fuelConsumedInMJ_Gasoline,personTravelTime_bike,personTravelTime_bike_transit,personTravelTime_car,personTravelTime_cav,personTravelTime_mixed_mode,personTravelTime_onDemandRide,personTravelTime_onDemandRide_pooled,personTravelTime_walk,personTravelTime_walk_transit,tollRevenue,totalCost_bike,totalCost_bike_transit,totalCost_car,totalCost_cav,totalCost_drive_transit,totalCost_onDemandRide,totalCost_onDemandRide_pooled,totalCost_onDemandRide_transit,totalCost_transit,totalCost_walk,totalCost_walk_transit,totalHoursOfVehicleTrafficDelay,totalIncentive_bike,totalIncentive_bike_transit,totalIncentive_car,totalIncentive_cav,totalIncentive_drive_transit,totalIncentive_onDemandRide,totalIncentive_onDemandRide_pooled,totalIncentive_onDemandRide_transit,totalIncentive_transit,totalIncentive_walk,totalIncentive_walk_transit,totalToll_bike,totalToll_bike_transit,totalToll_car,totalToll_cav,totalToll_drive_transit,totalToll_onDemandRide,totalToll_onDemandRide_pooled,totalToll_onDemandRide_transit,totalToll_transit,totalToll_walk,totalToll_walk_transit
0,0.6293082153112433,0.1655011655011655,0.1265597147950089,0.003552397868561279,2499.0,558.0,36.0,1.0,7.15,37.0,0.0,595.75,5.286898395721927,0.18863165840319682,4.830619474300781E-5,4.9686595051232394E-5,4.9686595051232394E-5,4.830619474300781E-5,47.048296599002875,42.21758218525316,42.21758218525316,52.809459814804995,0.0,0.0,705.0357142857143,0.0,0.0,805144.0136873586,0.0,1624.469977592602,53893.14998302925,1703.5333333333333,532.5,5521.066666666667,5994.6,107.26666666666667,925.8666666666667,5471.816666666667,5758.35,276.9666666666667,0.0,0.0,24.0,543.4882981239624,0.0,0.0,696.1190638595401,1750.3828634319218,0.0,0.0,0.0,20.15,5120.63993235378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6441784835747908,0.16756756756756758,0.12109375,0.001949317738791423,2452.0,508.0,32.0,2.0,5.2,12.0,0.0,595.75,5.349674479166662,0.17750108456668465,5.1423357375787944E-5,4.7239519111772434E-5,4.7239519111772434E-5,5.1423357375787944E-5,78.68913651684888,97.80106406215113,97.80106406215113,53.11535734649617,0.0,0.0,674.0,0.0,0.0,805144.0136873585,0.0,1717.3574512596394,56004.118182636965,1618.3666666666668,0,5665.35,6940.533333333334,44.96666666666667,1035.1833333333334,4891.0,7766.8,276.9666666666667,0.0,0.0,0.0,531.449479720991,0.0,0.0,764.0244903666872,1542.430975167445,0.0,0.0,0.0,17.2,5149.430614881296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6266978303726973,0.1588089330024814,0.11895910780669144,0.005545286506469501,2460.0,534.0,33.0,2.0,7.15,18.0,0.0,595.75,5.340768277571248,0.18805879404996764,5.244301333619877E-5,4.618881339130951E-5,4.618881339130951E-5,5.244301333619877E-5,85.12995560063042,105.49900444105347,105.49900444105347,53.200896259395144,0.0,0.0,776.2142857142857,0.0,0.0,805144.0136873584,0.0,1699.0086567396693,55256.895036737566,1812.4166666666667,58.8,5998.816666666667,6637.9,146.2,981.7166666666667,5471.016666666666,8392.683333333332,276.9666666666667,0.0,0.0,2.0,551.2179660133753,0.0,0.0,773.6018528589185,1674.9558834214358,0.0,0.0,0.0,23.15,5156.629872182522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.640304335774697,0.14248704663212436,0.10638297872340426,0.0019305019305019305,2447.0,514.0,28.0,1.0,5.2,16.0,0.0,611.8,5.392875564152156,0.18287708607736605,5.222994197929127E-5,4.657150655183492E-5,4.657150655183492E-5,5.222994197929127E-5,92.97674868631022,107.54180426787146,107.54180426787146,53.23352990020065,0.0,0.0,827.4166666666666,0.0,0.0,805144.0136873585,0.0,1642.4986700821987,56840.89978061409,1712.4666666666667,24.733333333333334,5825.116666666667,7174.333333333333,83.0,988.0,5211.5,7681.383333333333,364.31666666666666,0.0,0.0,2.0,541.2492056764135,0.0,0.0,735.3184617775017,1643.8102621005173,0.0,0.0,0.0,19.2,5161.537846215094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.635808655838416,0.164021164021164,0.12109375,0.007751937984496124,2439.0,508.0,32.0,2.0,3.25,20.0,0.0,556.5,5.502897135416664,0.18894283135097467,5.333198124986106E-5,4.867004628012331E-5,4.867004628012331E-5,5.333198124986106E-5,96.02503478886398,105.7602010555953,105.7602010555953,53.24669454232695,0.0,0.0,877.875,0.0,0.0,805144.0136873584,0.0,2012.615727246635,55772.19404668895,1713.5833333333333,122.75,5857.583333333333,6955.183333333333,168.75,1036.0166666666667,5279.283333333334,9405.0,280.8666666666667,0.0,0.0,5.0,554.4784242923523,0.0,0.0,787.457140304537,1673.959877683541,0.0,0.0,0.0,18.25,5162.267035878598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6451208421208203,0.15616438356164383,0.11632653061224489,0.006085192697768763,2424.0,488.0,29.0,1.0,5.2,19.0,0.0,516.6666666666666,5.464829931972789,0.178973740724377,5.18523956836609E-5,4.590771327927575E-5,4.590771327927575E-5,5.18523956836609E-5,90.51853156641832,96.91702844456573,96.91702844456573,53.216989686844705,0.0,0.0,719.2,0.0,0.0,805144.0136873585,0.0,1944.5627346291315,56091.9970961987,2144.5333333333333,149.5,5709.033333333334,7172.766666666666,121.48333333333333,924.4333333333334,5067.8,9396.066666666666,231.06666666666666,0.0,0.0,6.0,554.3511009866332,0.0,0.0,695.1179249533873,1605.123593611587,0.0,0.0,0.0,18.2,5159.638452590893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6428944112990354,0.15733333333333333,0.11637080867850098,0.0058823529411764705,2434.0,504.0,30.0,1.0,7.15,20.0,0.0,595.75,5.415581854043392,0.1858316809668389,5.068117596834943E-5,4.6867182350290335E-5,4.6867182350290335E-5,5.068117596834943E-5,90.86862376751947,99.344367231767,99.344367231767,53.24933100791083,0.0,0.0,672.3571428571429,0.0,0.0,805144.0136873586,0.0,1961.486553400902,56638.30284386103,2040.4333333333334,55.61666666666667,5575.816666666667,7244.416666666667,153.71666666666667,1003.8833333333333,5200.266666666666,8865.55,314.51666666666665,0.0,0.0,2.0,540.3683729376396,0.0,0.0,750.6807054070855,1670.9035100068763,0.0,0.0,0.0,25.15,5163.143883412048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.6531850488333801,0.12777777777777777,0.09349593495934959,0.002028397565922921,2425.0,488.0,24.0,2.0,5.2,15.0,0.0,556.5,5.585907859078589,0.17785720259565843,4.9772903098317066E-5,4.5388199589907684E-5,4.5388199589907684E-5,4.9772903098317066E-5,90.11987266403675,101.97309473859823,101.97309473859823,53.24803228466902,0.0,0.0,780.25,0.0,0.0,805144.0136873585,0.0,2152.1664178486267,56371.84603277011,2200.45,32.16666666666667,5788.283333333333,7049.55,122.7,1003.3166666666666,5039.233333333334,9776.866666666667,318.41666666666663,0.0,0.0,2.0,563.180077276292,0.0,0.0,732.2803876631451,1545.1726388117297,0.0,0.0,0.0,18.2,5162.160072077397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.6469222940682733,0.14127423822714683,0.10408163265306122,0.0,2423.0,487.0,26.0,1.0,11.049999999999999,19.0,0.0,595.75,5.531904761904764,0.17864571281701583,5.1104051348608644E-5,4.602374546048464E-5,4.602374546048464E-5,5.1104051348608644E-5,87.47336288036604,94.52672961973144,94.52672961973144,53.21900835351689,0.0,0.0,601.6428571428571,0.0,0.0,805144.0136873586,0.0,2106.407153221898,56558.24347302157,2252.7,115.31666666666666,5417.916666666667,7227.65,30.183333333333334,1000.9666666666667,5052.883333333333,9086.566666666668,314.51666666666665,0.0,0.0,8.9,543.5137190668963,0.0,0.0,729.0394328775636,1570.9131387172417,0.0,0.0,0.0,21.15,5160.115049956998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.6430458558627765,0.14824797843665768,0.11,0.00398406374501992,2430.0,497.0,28.0,1.0,9.1,17.0,0.0,516.6666666666666,5.490966666666667,0.17955297112195215,4.9977151612904746E-5,4.5141387180934016E-5,4.5141387180934016E-5,4.9977151612904746E-5,88.74894863043615,97.48474136499804,97.48474136499804,53.22315564008952,0.0,0.0,608.0909090909091,0.0,0.0,805144.0136873586,0.0,2206.8936015761938,56013.73857617521,2133.7833333333333,167.95,5475.733333333334,7049.3,112.86666666666666,985.75,5221.766666666666,8840.2,231.06666666666666,0.0,0.0,9.9,556.2067980138619,0.0,0.0,700.6112266935986,1605.1915157891387,0.0,0.0,0.0,16.2,5160.058860356179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6536744863644103,0.15,0.10931174089068826,0.006036217303822937,2426.0,490.0,28.0,2.0,5.2,19.0,0.0,516.6666666666666,5.442914979757082,0.17954661757510518,5.16801664304901E-5,4.6603270158485725E-5,4.6603270158485725E-5,5.16801664304901E-5,87.63299319086983,91.47805513271915,91.47805513271915,53.218652687580295,0.0,0.0,714.8571428571429,0.0,0.0,805144.0136873584,0.0,2299.0205137246653,56121.94913566027,1901.1333333333334,152.75,5328.15,7112.966666666666,148.36666666666667,1044.35,4960.566666666667,10157.5,231.06666666666666,0.0,0.0,6.0,556.7799249765767,0.0,0.0,756.0731984151643,1550.9542203038243,0.0,0.0,0.0,18.2,5160.184045301345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.6400687051772926,0.15915119363395225,0.11764705882352941,0.0,2437.0,506.0,31.0,2.0,1.95,14.0,0.0,510.0,5.531732026143792,0.18348041465864565,4.912107619957461E-5,4.620377873586244E-5,4.620377873586244E-5,4.912107619957461E-5,86.92380251983988,96.40039385732697,96.40039385732697,53.20371420787169,0.0,0.0,599.1111111111111,0.0,0.0,805144.0136873585,0.0,1948.1866229267855,56328.61921041307,2070.9333333333334,81.63333333333333,5410.95,7114.75,90.5,994.5666666666667,5230.0,9056.233333333334,162.25,0.0,0.0,5.0,550.0251095302433,0.0,0.0,771.8628596954635,1613.4445005586097,0.0,0.0,0.0,10.95,5158.898148166279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.6527814641152531,0.17473118279569894,0.13,0.005964214711729622,2420.0,497.0,33.0,1.0,5.2,18.0,0.0,516.6666666666666,5.3895,0.1774972339453591,5.033536233492869E-5,4.6049408456799226E-5,4.6049408456799226E-5,5.033536233492869E-5,85.89100947667745,89.85638945637604,89.85638945637604,53.20079808136894,0.0,0.0,865.2,0.0,0.0,805144.0136873585,0.0,2011.3348017581206,56164.574866735304,2279.6666666666665,208.48333333333332,5547.55,7014.133333333333,96.83333333333334,947.75,5150.566666666667,9201.1,231.06666666666666,0.0,0.0,7.0,564.2243096621585,0.0,0.0,692.811837321318,1574.8068610276298,0.0,0.0,0.0,16.2,5158.305047971131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.6498238984896365,0.14887640449438203,0.10905349794238683,0.00816326530612245,2427.0,483.0,27.0,1.0,5.2,20.0,0.0,516.6666666666666,5.509224965706449,0.17426802144727105,4.9170215239925674E-5,4.569457936015958E-5,4.569457936015958E-5,4.9170215239925674E-5,85.87708260071312,93.45237990263408,93.45237990263408,53.21019004960328,0.0,0.0,615.0,0.0,0.0,805144.0136873585,0.0,2305.9941315012156,56217.070919918646,2002.8666666666666,54.233333333333334,5488.933333333333,7156.033333333334,198.4,960.5833333333334,4988.466666666666,9852.266666666666,251.89999999999998,0.0,0.0,2.0,558.5622435238623,0.0,0.0,698.8950054381602,1520.4438760173318,0.0,0.0,0.0,23.2,5159.496516943088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
