Iteration,RHSummary_deadheadingPerRideHailTrips,RHSummary_multiPassengerTripsPerPoolTrips,RHSummary_multiPassengerTripsPerRideHailTrips,RHSummary_unmatchedPerRideHailRequests,RideTripsWith0Passengers,RideTripsWith1Passengers,RideTripsWith2Passengers,RideTripsWith3Passengers,agencyRevenue_BART,agencyRevenue_SFMTA,agentHoursOnCrowdedTransit,averageMTWaitingTimeInSec,averageOnDemandRideWaitTimeInMin,averageTripExpenditure,averageTripExpenditure_Commute,averageTripExpenditure_Home,averageTripExpenditure_Secondary,averageTripExpenditure_Work,averageVehicleDelayPerMotorizedLeg_home,averageVehicleDelayPerMotorizedLeg_secondary,averageVehicleDelayPerMotorizedLeg_work,averageVehicleDelayPerPassengerTrip,averagekWhPerDriver_CAV,averagekWhPerDriver_Human,busCrowding,chargingCountPerDriver_CAV,chargingCountPerDriver_Human,fuelConsumedInMJ_Diesel,fuelConsumedInMJ_Electricity,fuelConsumedInMJ_Food,fuelConsumedInMJ_Gasoline,personTravelTime_bike,personTravelTime_bike_transit,personTravelTime_car,personTravelTime_cav,personTravelTime_mixed_mode,personTravelTime_onDemandRide,personTravelTime_onDemandRide_pooled,personTravelTime_walk,personTravelTime_walk_transit,tollRevenue,totalCost_bike,totalCost_bike_transit,totalCost_car,totalCost_cav,totalCost_drive_transit,totalCost_onDemandRide,totalCost_onDemandRide_pooled,totalCost_onDemandRide_transit,totalCost_transit,totalCost_walk,totalCost_walk_transit,totalHoursOfVehicleTrafficDelay,totalIncentive_bike,totalIncentive_bike_transit,totalIncentive_car,totalIncentive_cav,totalIncentive_drive_transit,totalIncentive_onDemandRide,totalIncentive_onDemandRide_pooled,totalIncentive_onDemandRide_transit,totalIncentive_transit,totalIncentive_walk,totalIncentive_walk_transit,totalToll_bike,totalToll_bike_transit,totalToll_car,totalToll_cav,totalToll_drive_transit,totalToll_onDemandRide,totalToll_onDemandRide_pooled,totalToll_onDemandRide_transit,totalToll_transit,totalToll_walk,totalToll_walk_transit
14,0.6466799719538041,0.17073170731707318,0.12778904665314403,0.00404040404040404,2421.0,490.0,32.0,1.0,7.15,16.0,0.0,595.75,5.4116970926301535,0.1798588614882802,5.052303870054426E-5,4.6599830864322336E-5,4.6599830864322336E-5,5.052303870054426E-5,84.15301561073095,91.1313896845716,91.1313896845716,53.214431038761326,0.0,0.0,733.8333333333334,0.0,0.0,805144.0136873584,0.0,2498.5560902151433,56434.11141754895,2233.4166666666665,59.13333333333333,5704.95,7155.35,216.8,893.2833333333333,5176.616666666667,8819.366666666667,314.51666666666665,0.0,0.0,2.0,549.5188431297693,0.0,0.0,678.0345237725294,1642.326420136689,0.0,0.0,0.0,21.15,5159.464288508702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.6514265226699639,0.18351063829787234,0.14081632653061224,0.008097165991902834,2417.0,486.0,35.0,1.0,9.1,17.0,0.0,588.4,5.552755102040814,0.1744660452646332,4.8453353825073826E-5,4.599014220081607E-5,4.599014220081607E-5,4.8453353825073826E-5,87.1763191658197,95.1003093366893,95.1003093366893,53.238662174805945,0.0,0.0,883.8333333333334,0.0,0.0,805144.0136873584,0.0,1921.0086101800757,56190.099413395394,2451.9166666666665,0,5566.95,7125.916666666667,168.3,825.9333333333334,5216.033333333334,8113.116666666667,409.43333333333334,0.0,0.0,0.0,563.3099362600592,0.0,0.0,606.630089341206,1610.2463124803603,0.0,0.0,0.0,26.099999999999998,5161.56224043379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.6506846679592181,0.18181818181818182,0.13991769547325103,0.004098360655737705,2417.0,483.0,35.0,2.0,9.1,15.0,0.0,516.6666666666666,5.49842249657064,0.1713002215234631,4.930639605046057E-5,4.569410728924645E-5,4.569410728924645E-5,4.930639605046057E-5,85.03519183082285,95.74760537324802,95.74760537324802,53.214059470346974,0.0,0.0,586.25,0.0,0.0,805144.0136873586,0.0,2382.7111701923504,56017.187985945435,2342.5333333333333,25.71666666666667,5511.233333333334,7154.366666666667,102.1,856.2666666666667,5182.983333333334,10116.666666666666,231.06666666666666,0.0,0.0,3.9,548.374597763191,0.0,0.0,605.7248112181481,1577.1646542235676,0.0,0.0,0.0,20.2,5159.383917630677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.6555400766516025,0.19166666666666668,0.1422680412371134,0.00205761316872428,2417.0,482.0,35.0,1.0,7.15,16.0,0.0,595.75,5.512989690721652,0.17328160348783922,4.9574459388555296E-5,4.745063181178097E-5,4.745063181178097E-5,4.9574459388555296E-5,85.87921797978356,91.03823998057777,91.03823998057777,53.21620821858722,0.0,0.0,557.4166666666666,0.0,0.0,805144.0136873586,0.0,2483.788540532202,56075.64260208209,1977.35,24.65,5673.7,7184.033333333334,92.65,931.6166666666667,4980.1,10072.8,314.51666666666665,0.0,0.0,2.0,556.2432343879775,0.0,0.0,701.6727734617776,1506.1685842521392,0.0,0.0,0.0,21.15,5159.784419753973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.6422185391159986,0.16164383561643836,0.11895161290322581,0.004016064257028112,2430.0,493.0,30.0,1.0,7.15,17.0,0.0,617.5,5.436323924731175,0.18318885254605902,5.066731119607123E-5,4.587766274962108E-5,4.587766274962108E-5,5.066731119607123E-5,84.746688079807,92.26312505796118,92.26312505796118,53.198516565453836,0.0,0.0,794.8333333333334,0.0,0.0,805144.0136873588,0.0,2062.1061916012654,56038.459963219306,2261.133333333333,79.98333333333333,5292.333333333333,7076.65,147.23333333333332,931.1833333333333,5120.1,9188.75,327.6166666666667,0.0,0.0,5.0,553.7934461678383,0.0,0.0,726.3280733374769,1642.321173698048,0.0,0.0,0.0,19.15,5158.0099472607035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.6440731539660332,0.15803814713896458,0.11507936507936507,0.0,2439.0,499.0,30.0,2.0,5.2,8.0,0.0,539.0,5.380787037037037,0.17854428787295837,5.0046720692160784E-5,4.659002560933802E-5,4.659002560933802E-5,5.0046720692160784E-5,87.86618969060746,90.45862224553515,90.45862224553515,53.19541978694378,0.0,0.0,538.0,0.0,0.0,805144.0136873582,0.0,2206.7693399609457,56196.702255431854,2283.5833333333335,41.333333333333336,5478.566666666667,7208.433333333333,57.56666666666667,1033.6666666666667,5010.516666666666,9393.316666666668,149.25,0.0,0.0,2.0,551.1875957875154,0.0,0.0,747.8910060596644,1559.6062685893573,0.0,0.0,0.0,11.2,5157.9461145860405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.6408503516115814,0.16842105263157894,0.1292929292929293,0.0,2425.0,492.0,32.0,0,11.049999999999999,19.0,0.0,595.75,5.519629629629631,0.17756744625227203,4.990326801390439E-5,4.6981771011311704E-5,4.6981771011311704E-5,4.990326801390439E-5,88.1272485676246,91.91497993573138,91.91497993573138,53.20644560065497,0.0,0.0,732.9230769230769,0.0,0.0,805144.0136873585,0.0,2043.5546376654163,55896.60520383255,2236.9166666666665,150.2,5546.45,7149.266666666666,60.733333333333334,873.3,5211.666666666667,8982.733333333334,314.51666666666665,0.0,0.0,8.9,557.143527213655,0.0,0.0,640.2629210689869,1628.7159246851556,0.0,0.0,0.0,21.15,5158.409239688167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.6455145348316851,0.16020671834625322,0.12277227722772277,0.001976284584980237,2429.0,502.0,32.0,2.0,5.85,23.0,0.0,551.0,5.476798679867984,0.17859251329042525,5.00526742697283E-5,4.544031558167294E-5,4.544031558167294E-5,5.00526742697283E-5,85.86780101612409,88.79977346372274,88.79977346372274,53.20786566969196,0.0,0.0,875.6428571428571,0.0,0.0,805144.0136873585,0.0,1695.3131408538272,56654.94992828102,2181.5333333333333,175.96666666666667,5557.75,7160.5,54.06666666666666,875.3166666666667,5354.066666666667,7889.2,402.6166666666667,0.0,0.0,7.95,557.053172556179,0.0,0.0,627.553137041641,1659.20426667867,0.0,0.0,0.0,20.9,5159.256354773623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.6459139505205947,0.1484375,0.11154598825831702,0.001953125,2442.0,508.0,29.0,1.0,5.2,17.0,0.0,588.4,5.437671232876711,0.1795027163928429,4.928712541997109E-5,4.5190904698553444E-5,4.5190904698553444E-5,4.928712541997109E-5,85.40449363204631,96.52739218202507,96.52739218202507,53.2130308832841,0.0,0.0,884.1666666666666,0.0,0.0,805144.0136873585,0.0,2031.6260784287995,56414.80560546672,2437.733333333333,33.4,5618.483333333334,7094.033333333334,63.3,959.05,5283.383333333333,8257.183333333332,371.8833333333333,0.0,0.0,2.0,553.6877526269132,0.0,0.0,685.0940040397762,1626.3194365121853,0.0,0.0,0.0,20.2,5159.225065096407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.6381628979595949,0.16062176165803108,0.12109375,0.0038910505836575876,2442.0,507.0,32.0,2.0,5.2,14.0,0.0,516.6666666666666,5.429036458333328,0.18264891243916878,5.038184448336246E-5,4.612584755093985E-5,4.612584755093985E-5,5.038184448336246E-5,87.40914809727745,95.80566351140192,95.80566351140192,53.232971880171974,0.0,0.0,726.9090909090909,0.0,0.0,805144.0136873585,0.0,1751.9709086715745,56574.285407223055,2105.883333333333,54.233333333333334,5433.816666666667,7181.666666666667,96.5,943.7666666666667,5322.55,7935.383333333333,231.06666666666666,0.0,0.0,2.0,557.8296699140386,0.0,0.0,697.9273718147921,1662.9507148552009,0.0,0.0,0.0,17.2,5161.631609804442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.6452285356305689,0.15844155844155844,0.1203155818540434,0.0058823529411764705,2442.0,504.0,31.0,1.0,7.15,23.0,0.0,603.0,5.237771203155816,0.17916615026920357,4.959248086495446E-5,4.541801981554207E-5,4.541801981554207E-5,4.959248086495446E-5,84.57737600344507,88.2768766631722,88.2768766631722,53.19450777597433,0.0,0.0,1030.5555555555557,0.0,0.0,805144.0136873586,0.0,1749.1672647360924,56623.384659931595,2105.133333333333,0,5448.433333333333,7220.583333333333,154.63333333333333,891.8,5157.8,7989.233333333334,566.15,0.0,0.0,0.0,555.0597500095762,0.0,0.0,662.2737935052826,1634.4039835652832,0.0,0.0,0.0,30.15,5158.28619528839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.6438838472281708,0.15915119363395225,0.11834319526627218,0.003929273084479371,2438.0,503.0,31.0,2.0,7.15,18.0,0.0,534.25,5.35420775805391,0.18347004152234594,4.927623847480641E-5,4.694616259702232E-5,4.694616259702232E-5,4.927623847480641E-5,84.21097039043566,90.64521980777837,90.64521980777837,53.196418659866474,0.0,0.0,503.0,0.0,0.0,805144.0136873585,0.0,1422.7412991314864,55938.941714709166,2324.983333333333,128.43333333333334,5520.45,7030.016666666666,95.85,967.4833333333333,5164.183333333333,8349.916666666666,302.26666666666665,0.0,0.0,4.0,566.4216138845399,0.0,0.0,723.5163921690491,1636.0276118333472,0.0,0.0,0.0,21.15,5158.028190741381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.6483016938126624,0.15,0.11354581673306773,0.003968253968253968,2437.0,499.0,29.0,1.0,7.15,13.0,0.0,633.25,5.3203851261620185,0.17548596227378294,4.939544062119178E-5,4.6041036590543924E-5,4.6041036590543924E-5,4.939544062119178E-5,84.83516858247393,87.35282231942114,87.35282231942114,53.20000641896111,0.0,0.0,1023.0,0.0,0.0,805144.0136873585,0.0,1725.6363635006223,56330.44521962753,2323.7,58.8,5275.316666666667,7116.7,80.0,879.6,5172.95,8764.016666666666,319.2,0.0,0.0,2.0,553.0253160320455,0.0,0.0,642.2338377874455,1607.282549354307,0.0,0.0,0.0,18.15,5158.0509556890565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.640109928967091,0.15363881401617252,0.11176470588235295,0.005847953216374269,2443.0,506.0,29.0,1.0,5.2,11.0,0.0,584.6666666666666,5.427254901960786,0.18391905198054825,4.950727557617501E-5,4.575430979876823E-5,4.575430979876823E-5,4.950727557617501E-5,82.86207233442566,91.34789982783329,91.34789982783329,53.20242174040858,0.0,0.0,766.875,0.0,0.0,805144.0136873585,0.0,1525.980688002949,56638.86071626722,2360.883333333333,0,5415.25,7110.233333333334,194.43333333333334,1041.6666666666667,5159.35,7274.966666666666,236.59999999999997,0.0,0.0,0.0,562.9418722649896,0.0,0.0,781.6898990055937,1597.5061798365332,0.0,0.0,0.0,16.2,5158.905830113069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.6395883109488135,0.13541666666666666,0.10097087378640776,0.005791505791505791,2452.0,513.0,26.0,0,11.049999999999999,26.0,0.0,603.0,5.38498381877023,0.18456602685203619,5.094503952819682E-5,4.704206516255415E-5,4.704206516255415E-5,5.094503952819682E-5,85.24838876201139,92.11568754147135,92.11568754147135,53.21864399080407,0.0,0.0,1063.8947368421052,0.0,0.0,805144.0136873585,0.0,1456.2246713467528,56099.29520693293,2378.7166666666667,226.26666666666665,5376.233333333334,7099.466666666666,95.33333333333333,958.2,5254.116666666667,7308.75,496.7833333333333,0.0,0.0,10.899999999999999,554.4011594325486,0.0,0.0,740.0287150403976,1637.2646674420575,0.0,0.0,0.0,26.15,5160.197985001675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.6431074491952287,0.17771883289124668,0.1303501945525292,0.005802707930367505,2434.0,511.0,34.0,1.0,7.15,19.0,0.0,595.75,5.290888456549938,0.18228724687870762,5.0479477356401697E-5,4.739887853733711E-5,4.739887853733711E-5,5.0479477356401697E-5,83.89246470228677,90.0959970859268,90.0959970859268,53.207270359305085,0.0,0.0,686.3846153846154,0.0,0.0,805144.0136873584,0.0,1467.3916421207132,56524.18992213545,2265.0,58.8,5428.233333333334,7156.133333333333,152.51666666666668,1024.8333333333333,5081.516666666666,7121.783333333333,335.35,0.0,0.0,2.0,561.9404516324507,0.0,0.0,771.0997622747047,1572.9001521368593,0.0,0.0,0.0,24.15,5158.962154240899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.6338230153854928,0.14545454545454545,0.10894941634241245,0.005802707930367505,2446.0,510.0,29.0,2.0,7.15,25.0,0.0,588.4,5.479831387808041,0.18751615068998007,5.17246936317283E-5,4.7142007269139924E-5,4.7142007269139924E-5,5.17246936317283E-5,85.38645840198419,89.32778550061671,89.32778550061671,53.19021347925364,0.0,0.0,737.0,0.0,0.0,805144.0136873585,0.0,1719.8337328225482,56028.33727268708,2248.2,109.8,5462.533333333334,7099.083333333333,122.86666666666666,956.8,5345.316666666667,7377.216666666666,409.43333333333334,0.0,0.0,6.0,556.4630989196905,0.0,0.0,728.6260518955869,1698.9581330330532,0.0,0.0,0.0,26.15,5157.707250490228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
